Monthly mean zonal wind components ( 0.1 m/s)
at Singapore (48698), 1N/104E

1987
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 20 -330 -309 -317 -326 -347 -104   92  111  134  111  116   30
 25 -290 -300 -301 -297 -295 -209   56  112  121  112  119   83
 30 -265 -272 -269 -272 -263 -285  -59  117  134  116  118   83
 35 -212 -189 -237 -254 -252 -289 -159   78  133  113  111   87
 40  -98 -103 -185 -251 -253 -278 -276    0  120  102  107   89
 45  -21  -24  -90 -236 -252 -270 -289  -72  102   90   94   86
 50   58   51   -8 -159 -234 -235 -278 -178   38   77   72   76
 60  101   96   64    0 -158 -180 -209 -259 -164   16   57   66
 70   82   61   49   56  -56 -137 -163 -163 -185  -37   41   44
 80   60   -9   19   45    7 -134 -143  -98 -141  -78  -16   23
 90   48  -55  -23   41   -9 -136 -160 -100 -150 -119  -84    2
100    3  -53  -27   24  -49 -136 -159 -144 -169 -125 -125  -87

2011
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10 -109 -141 -262 -309 -306 -292 -244 -310 -310 -291 -177  -54
 12  -54 -125 -229 -270 -314 -354 -369 -382 -376 -379 -351 -226
 15  -44  -13  -69 -208 -286 -325 -336 -370 -375 -358 -346 -320
 20   30   75   71   27 -121 -256 -302 -292 -312 -307 -316 -315
 25   70   90  102   85   29  -98 -147 -146 -190 -231 -279 -295
 30   97   97  101   92   96   70    9   25  -32  -75 -189 -239
 35   83   98  104   99  113  121   91  106   71   75  -42 -141
 40   80   74   87   85  106  127  116  102  130  114   70  -27
 45   71   47   60   62   99  132  105  120  136  112   99   33
 50   45   52   58   53   97  127   99  126  118  107  101   59
 60   27   53   46   30   73  104   92   92  117  118  102   66
 70    6   62   48    7   56   33   76   67  109  108  100   54
